,Username,ChampionToPredict,TierRankName,TierRank,LadderRank,TopChamp_S2022,TopChamp_Last20,AvgK_Last20,AvgD_Last20,AvgA_Last20,PrefPosition_Last20,LastPlayedChamp,LastPlayedResult
20,Vicsonero,Udyr,gold 4,13,"347,046",Udyr,Udyr,6.2,3.9,10.8,Jungle,Udyr,1
21, Kishimoto,Yone,gold 4,13,"347,008",Yasuo,Yasuo,8.5,5.9,5.8,Middle,Yasuo,0
22,Support NA,Orianna,gold 4,13,"347,081",Sona,Varus,7.4,8.7,21.4,Middle,Varus,1
23,funsizes,Kindred,gold 4,13,"347,056",Graves,Kindred,8.5,6.9,7.7,Jungle,Jhin,0
24,Eckali,Lucian,silver 2,11,"568,124",Caitlyn,Caitlyn,8.6,6.8,8.2,Bottom,Irelia,1
25,JoJoTheGreattt,Yasuo,silver 2,11,"568,182",Yone,Samira,8.4,8.1,13.5,Middle,Wukong,1
26,CobraBravo,Tryndamere,silver 2,11,"568,179",Urgot,Shen,5.8,7.4,13.6,Top,Tryndamere,0
27,Shaxx13,Sion,silver 2,11,"568,140",Sion,Sion,5.8,5.8,7.3,Top,Zac,0
28,Xiunga is dum,Graves,silver 2,11,"568,135",Alistar,Rakan,4.9,7.5,8.3,Support,Hecarim,0
29,YellaPilluh,Darius,silver 2,11,"568,151",Akali,Akali,9.0,10.2,10.4,Middle,Sivir,1
30,Wipir,Brand,silver 2,11,"568,117",Brand,Brand,6.5,8.0,10.9,Support,Trundle,0
31,AlpacaFriedRice,Irelia,silver 2,11,"568,174",Graves,Graves,6.6,6.8,5.1,Top,Akali,0
32,isthatzach,Kayn,bronze 1,8,"927,346",Kha'Zix,Kayn,4.3,5.4,7.3,Jungle,Kayn,0
33,BIG TURTTLES,Gwen,bronze 1,8,"927,397",Gwen,Varus,6.1,5.5,6.3,Bottom,Varus,0
34,Tempest3,Maokai,bronze 1,8,"927,357",Kassadin,Kassadin,7.4,6.1,7.4,Middle,Rumble,0
35,IceTaroTea,Tristana,bronze 1,8,"927,372",Tristana,Tristana,6.4,6.8,6.9,Bottom,Jayce,0
36,Ninja598,Zac,bronze 1,8,"927,380",Jhin,Jhin,7.0,7.2,10.8,Bottom,Braum,1
37,Little Diablo,Zed,bronze 1,8,"927,346",Zed,Zed,4.9,7.0,7.9,Middle,Zed,0
38,Reinify,Lucian,silver 4,9,"727,787",Lucian,Lucian,10.7,4.5,5.6,Bottom,Lucian,0
39,Kubrick,Jarvan IV,silver 4,9,"727,740",Bard,Bard,6.5,9.5,22.4,Support,Brand,1
40,Nyalux,Lux,silver 4,9,"727,751",Lux,Lux,8.0,6.9,19.3,Support,Leona,0
41,PreacherMan13,Teemo,silver 4,9,"727,734",Trundle,Teemo,4.8,5.9,5.0,Top,Teemo,0
42,LazyRN,Gangplank,silver 4,9,"727,743",Vayne,Vayne,11.7,8.8,13.0,Bottom,Vayne,1
43,Chancellor22,Ezreal,silver 4,9,"727,703",Ezreal,Ezreal,7.6,7.3,6.8,Bottom,Ezreal,0
44,Thrillip,Lucian,silver 4,9,"727,714",Zilean,Lucian,6.9,5.4,10.9,Bottom,Xayah,1
45,Baccardi 151,Master Yi,silver 4,9,"727,742",Vayne,Vayne,7.8,8.3,5.5,Bottom,Zoe,1
46,lDarkBishopl,Malzahar,silver 4,9,"727,750",Malzahar,Malzahar,5.3,6.5,13.6,Middle,Malzahar,1
47,muckmeet25,Yasuo,bronze 1,8,"967,625",Ahri,Yasuo,9.4,9.6,18.9,Middle,Yasuo,1
48,El Fediador,Sion,bronze 1,8,"967,682",Maokai,Sion,4.9,7.3,7.5,Jungle,Sion,1
49,PANTYWETTER,Soraka,bronze 1,8,"967,658",Nami,Caitlyn,7.8,7.4,16.9,Support,Nami,0
50,JadeComp,Veigar,bronze 1,8,"967,672",Jhin,Aatrox,5.3,6.1,6.2,Top,Pantheon,0
51,TehRealSpoonz,Morgana,bronze 1,8,"967,675",Yorick,Yorick,4.1,6.0,7.3,Top,Yorick,0
52,snoopx,Viego,bronze 1,8,"967,646",Yone,Sylas,8.1,7.7,5.5,Middle,Yone,0
53,xRIKKUx,Senna,bronze 3,6,"1,129,274",Urgot,Senna,4.3,6.3,12.8,Support,Senna,1
54,XxPlebb1nxX,Vayne,bronze 3,6,"1,129,209",Rell,Garen,7.5,7.8,12.9,Top,Diana,0
55,sontzu,Nidalee,bronze 3,6,"1,129,223",Aphelios,Thresh,3.8,6.4,10.2,Support,Nidalee,1
56,Zoomìes,Neeko,bronze 3,6,"1,129,227",Morgana,Neeko,5.9,9.0,7.3,Support,Neeko,1
57,DirtyMatress,Fiora,bronze 3,6,"1,129,265",Vex,Akali,9.4,6.5,7.3,Middle,Zoe,0
58,linhboy,Corki,gold 3,14,"241,245",Vladimir,Corki,4.8,5.1,7.2,Middle,Jhin,0
59,JROTC,Vel'Koz,gold 3,14,"241,285",Akshan,Veigar,6.7,8.0,15.4,Middle,Seraphine,1
60,Deep Dish Bussy,Twitch,gold 3,14,"241,227",Galio,Galio,5.8,4.8,7.3,Middle,Galio,0
61,lotsoflulu,Viktor,gold 3,14,"241,259",Cassiopeia,Vex,6.2,4.6,6.4,Middle,Viktor,0
62,Smoke Stackz,Mordekaiser,gold 3,14,"241,232",Darius,Darius,6.5,7.4,5.7,Top,Sett,1
63,lm Blind ,Fiddlesticks,gold 3,14,"241,249",Fiora,Kog'Maw,10.4,7.3,13.9,Middle,Caitlyn,0
64,love is nugget,Ahri,gold 3,14,"241,297",Gragas,Gragas,5.4,7.2,13.8,Top,Lucian,0
65,Juicy Tangerine,Sion,diamond 4,21,"23,698",Cho'Gath,Rumble,5.2,6.4,8.4,Top,Volibear,0
66,kailleo,Lulu,diamond 4,21,"23,692",Jayce,Lucian,9.9,5.3,9.7,Bottom,Miss Fortune,0
67,BulIet,Nautilus,diamond 4,21,"23,643",Rakan,Nunu & Willump,2.7,5.4,11.2,Support,Nunu & Willump,0
68,Platinum Rioy,Janna,diamond 4,21,"23,684",Janna,Rakan,2.0,5.7,10.9,Support,Nautilus,0
69,Abid,Rengar,diamond 4,21,"23,658",Rammus,Rengar,8.3,6.6,9.1,Jungle,Master Yi,1
70,Kai Hong,Viego,diamond 4,21,"23,690",Viego,Yasuo,13.8,8.8,12.8,Bottom,Diana,0
71,Zecaa,Jinx,diamond 4,21,"23,655",Jinx,Caitlyn,6.3,7.5,7.6,Bottom,Xayah,0
72,RainyVancouver,Varus,diamond 4,21,"23,613",Caitlyn,Graves,10.6,7.9,18.0,Bottom,Vladimir,0
73,NTT Ricarto,Garen,diamond 4,21,"23,680",Volibear,Xayah,6.4,6.3,5.6,Top,Mordekaiser,0
74,ni hao,Sona,diamond 4,21,"23,665",Yuumi,Yuumi,4.6,5.9,13.8,Support,Lulu,0
75,Bepiss,Lux,silver 4,9,"826,476",Lux,Lux,5.6,6.5,8.8,Bottom,Miss Fortune,0
76,bobchampagne,Veigar,silver 4,9,"826,465",Kayn,Veigar,6.9,5.7,6.0,Jungle,Darius,1
77,Ugurix,Quinn,silver 4,9,"826,447",Dr. Mundo,Teemo,8.5,8.1,8.5,Top,Jarvan IV,0
78,Nakigama,Mordekaiser,silver 4,9,"826,493",Gangplank,Gangplank,5.2,7.4,9.3,Middle,Yasuo,0
79,QiyanaOnlyFans,Qiyana,silver 4,9,"826,487",Qiyana,Qiyana,5.2,5.3,6.6,Jungle,Qiyana,0
80,Lord Vaper,Shaco,silver 4,9,"826,421",Shaco,Shaco,4.8,6.8,6.9,Top,Aurelion Sol,0
81,packattack8337,Kindred,silver 4,9,"826,500",Nocturne,Nocturne,7.8,5.4,11.6,Jungle,Akshan,1
82,Fool109,Renata Glasc,silver 4,9,"826,487",Leona,Leona,5.0,6.8,17.8,Support,Pyke,1
83,Loser123456789,Ryze,gold 3,14,"240,789",Caitlyn,Caitlyn,6.3,5.7,7.0,Bottom,Caitlyn,1
84,RebelGanggggggg,Kha'Zix,gold 3,14,"240,719",Kha'Zix,Kha'Zix,8.4,7.3,7.1,Jungle,Graves,0
85,Th3MadBrapper ,Blitzcrank,gold 3,14,"240,730",Blitzcrank,Blitzcrank,2.7,5.8,14.4,Support,Blitzcrank,0
86,ur kitten uwu,Rakan,gold 3,14,"240,705",Taliyah,Taliyah,3.9,6.3,7.9,Support,Neeko,1
87,BIG BOOBIÈS ,Gragas,gold 3,14,"240,717",Master Yi,Lillia,8.0,4.8,7.9,Jungle,Kha'Zix,0
88,veycem00343n,Xin Zhao,gold 3,14,"240,718",Pantheon,Trundle,7.5,6.0,7.6,Jungle,Trundle,1
89,masterfinesse,Veigar,gold 3,14,"240,778",Darius,Fizz,5.8,5.7,9.5,Middle,Sett,1
90,zLeon,Gragas,gold 3,14,"240,713",Xerath,Xerath,9.1,6.3,11.2,Support,Diana,1
91,6 GORRILLION,Dr. Mundo,gold 3,14,"240,779",Sion,Sion,3.1,7.0,4.0,Top,Sejuani,0
92,NOT OK CANT WIN,Katarina,bronze 1,8,"895,928",Katarina,Katarina,7.4,5.8,5.5,Middle,Katarina,0
93,Makpronee,Yone,bronze 1,8,"895,964",Yone,Yone,12.1,5.4,5.2,Bottom,Yone,0
94,Mcdicky,Mordekaiser,bronze 1,8,"895,925",Aatrox,Aatrox,6.3,7.1,5.6,Top,Mordekaiser,1
95,Vorozhiju,Dr. Mundo,bronze 1,8,"895,946",Sivir,Miss Fortune,6.0,6.3,7.6,Bottom,Dr. Mundo,0
96,The Tranimal,Gnar,diamond 3,22,"17,707",Irelia,Lucian,6.6,4.2,7.3,Top,Irelia,1
97,Leaky White,Vayne,diamond 3,22,"17,749",Alistar,Tahm Kench,2.6,5.3,11.3,Support,Morgana,0
98,Ian Loves Azuki ,Ezreal,diamond 3,22,"17,773",Ezreal,Camille,9.7,7.3,13.1,Top,Ezreal,0
99,Giantgochew,Yasuo,diamond 3,22,"17,760",Jhin,Lee Sin,8.0,6.8,7.5,Bottom,Xayah,1
100,Existant,Mordekaiser,diamond 3,22,"17,730",Fiora,Gwen,8.8,7.4,6.4,Top,Aatrox,0
101,Kobè ,Jinx,diamond 3,22,"17,750",Jinx,Sion,6.3,5.7,5.1,Bottom,Jinx,1
102,Duckz,Zed,diamond 3,22,"17,792",Kayle,Zed,7.9,6.8,5.6,Middle,Zed,1
103,LP Maelstrom,Pyke,diamond 3,22,"17,777",Riven,Pyke,6.4,6.7,14.0,Support,Fiddlesticks,1
104,Sluchy,Vi,diamond 3,22,"17,732",Trundle,Vi,6.5,5.8,7.6,Jungle,Nocturne,0
105,jimcarey,Nocturne,bronze 3,6,"1,098,342",Nocturne,Nocturne,9.9,7.3,6.7,Jungle,Nocturne,1
106,Timbobit,Maokai,bronze 3,6,"1,098,400",Maokai,Maokai,3.9,5.6,8.6,Support,Maokai,1
107,Only O,Trundle,bronze 3,6,"1,098,361",Trundle,Jax,6.4,8.2,5.9,Top,Udyr,0
108,Brayden512,Amumu,bronze 3,6,"1,098,317",Amumu,Amumu,5.3,5.4,8.4,Jungle,Amumu,0
109,RealSuperOGBaby,Syndra,bronze 3,6,"1,098,351",Brand,Ashe,7.5,4.9,15.0,Bottom,Xerath,1
110,RejectMaki,Ekko,bronze 3,6,"1,098,367",Viego,Viego,5.1,5.4,6.9,Jungle,Viego,0
111,kingpapa11990,Sion,bronze 3,6,"1,098,347",Sion,Sett,7.3,8.1,7.6,Top,Sett,1
112,jakefrmstfrm28,Zilean,bronze 3,6,"1,098,392",Warwick,Warwick,3.5,4.8,3.1,Top,Kayn,0
113,Kai Matter,Varus,bronze 3,6,"1,098,341",Vex,Ashe,10.1,9.4,16.3,Middle,Vex,0
114,Lukei,Bard,gold 3,14,"263,227",Yasuo,Lee Sin,6.1,6.1,6.5,Jungle,Jinx,1
115,iAreSuky,Syndra,gold 3,14,"263,237",Yasuo,Yasuo,8.8,8.4,11.9,Middle,Talon,0
116,ShoCo2,Azir,gold 3,14,"263,282",Vladimir,Sion,8.8,7.0,14.6,Jungle,Sion,0
117,ablegday,Ryze,gold 3,14,"263,285",Lee Sin,Lee Sin,8.3,6.1,7.5,Jungle,Lee Sin,0
118,HideNextToBush,Jax,gold 3,14,"263,223",Diana,Diana,5.4,6.7,6.9,Jungle,Fiora,1
119,WeakestNunuFan,Senna,gold 3,14,"263,295",Zeri,Graves,11.3,6.9,11.1,Jungle,Viego,0
120,Dino Paul,Gangplank,gold 3,14,"263,288",Gangplank,Gangplank,5.4,4.0,4.8,Top,Gangplank,1
121,Ninth Horcrux,Janna,gold 3,14,"263,290",Janna,Soraka,3.0,6.6,12.7,Support,Soraka,0
122,DarKraven822,Cassiopeia,gold 3,14,"263,266",Akali,Akali,8.5,6.7,6.6,Middle,Jayce,1
123,6Dexout,Illaoi,gold 4,13,"333,315",Master Yi,Illaoi,5.4,8.4,6.4,Top,Illaoi,1
124,Im Bartt,Senna,gold 4,13,"333,327",Kindred,Senna,7.4,6.4,8.6,Bottom,Kindred,0
125,Rukailai,Viktor,gold 4,13,"333,359",Viego,Viego,7.9,4.4,7.2,Jungle,Viktor,1
126,Chubbyboyy,Amumu,gold 4,13,"333,366",Pyke,Pyke,8.0,10.0,19.3,Support,Pyke,0
127,2Shots1Cigar,Graves,gold 4,13,"333,395",Graves,Graves,4.5,5.4,6.7,Jungle,Graves,0
128,SWIFFERS JHIN ,Veigar,gold 4,13,"333,386",Jhin,Jhin,5.6,5.0,8.2,Bottom,Veigar,1
129,ıamzyzz,Lee Sin,gold 4,13,"333,313",Senna,Senna,6.5,8.8,9.7,Support,Yasuo,0
130,Cozy Campfire,Wukong,gold 4,13,"333,368",Jax,Jax,7.5,6.8,8.6,Jungle,Aatrox,0
131,gmxeunw,Rakan,bronze 2,7,"1,000,876",Karma,Rakan,3.3,10.9,10.1,Support,Lux,0
132,Petrica LiLFudge,Master Yi,bronze 2,7,"1,000,873",Tristana,Tristana,13.9,10.5,8.9,Bottom,Brand,1
133,CrAzYmOnKeY1982,Lux,bronze 2,7,"1,000,859",Gangplank,Darius,6.5,12.4,6.7,Top,Darius,1
134,Grrroomba,Graves,bronze 2,7,"1,000,842",Kayn,Lee Sin,5.3,5.5,6.5,Jungle,Diana,0
135,C H I P P E R 7,Warwick,bronze 2,7,"1,000,845",Master Yi,Sivir,7.0,9.4,6.7,Middle,Vayne,0
136,deathpion,Rengar,silver 1,12,"440,139",Master Yi,Master Yi,7.0,8.0,5.7,Jungle,Darius,1
137,Hıde in Dark,Swain,silver 1,12,"440,178",Thresh,Riven,8.5,7.1,9.6,Middle,Viktor,1
138,THE CHAMPION 246,Volibear,silver 1,12,"440,148",Volibear,Volibear,8.3,6.5,4.9,Top,Volibear,1
139,Epicsnoozebear,Kog'Maw,silver 1,12,"440,200",Yasuo,Zed,7.5,8.0,9.7,Jungle,Lulu,1
140,Fredune,Vel'Koz,silver 1,12,"440,146",Shaco,Rammus,8.9,6.2,10.2,Jungle,Rammus,0
141,Insayne at Vayne,Aatrox,silver 1,12,"440,103",Mordekaiser,Mordekaiser,6.5,8.0,5.2,Top,Sett,0
142,JonnyQuick0217,Maokai,silver 1,12,"440,134",Yasuo,Sion,11.7,6.7,8.8,Top,Zeri,0
143,SireClass,Karma,silver 3,10,"709,628",Morgana,Morgana,6.4,6.8,11.7,Bottom,Morgana,1
144,Vtec Hiraz,Orianna,bronze 1,8,"930,261",Fizz,Orianna,7.9,5.9,9.2,Support,Orianna,1
145,Lie Cheat Steal,Akali,bronze 1,8,"930,267",Anivia,Anivia,7.1,6.1,7.2,Middle,Jax,1
146,snowm4n74,Caitlyn,bronze 1,8,"930,296",Ashe,Ashe,6.8,6.5,11.5,Bottom,Miss Fortune,1
147,ItalienGod,Zilean,bronze 1,8,"930,215",Pyke,Shaco,8.8,6.3,6.6,Support,Vi,1
148,flippyflips,Caitlyn,bronze 1,8,"930,263",Jinx,Kassadin,8.1,6.4,5.5,Jungle,Lillia,0
149,HumpingBurritoJR,Nasus,bronze 1,8,"930,292",Braum,Braum,2.6,9.1,14.0,Support,Quinn,0
150,oonebaddog,Shaco,gold 3,14,"267,569",Shaco,Shaco,10.7,7.9,9.1,Jungle,Shaco,0
151,NTS5 Alecgator,Heimerdinger,gold 3,14,"267,516",Ezreal,Lucian,6.7,5.5,7.7,Jungle,Akshan,1
152,Thick2g,Sylas,gold 3,14,"267,588",Xin Zhao,Orianna,6.7,9.6,15.0,Middle,Xerath,0
153,A Rat,Sion,gold 3,14,"267,550",Jinx,Twitch,10.5,9.7,16.5,Top,Twitch,0
154,PRepsUp,Lillia,gold 3,14,"267,519",Aphelios,Vi,6.2,4.7,6.7,Jungle,Ekko,1
155,Da Baby,Senna,gold 3,14,"267,536",Twitch,Twitch,9.2,6.7,11.3,Support,Twitch,0
156,Phantrox,Brand,gold 3,14,"267,554",Master Yi,Kha'Zix,4.6,8.6,6.9,Jungle,Master Yi,1
157,TuanVA,Fizz,gold 3,14,"267,564",Zed,Fizz,12.1,8.9,17.3,Support,Yone,1
158,Timthepanda,Fiora,gold 3,14,"267,601",Garen,Garen,7.6,7.2,4.8,Top,Garen,0
159,NONOYESNO3,Renata Glasc,silver 2,11,"556,747",Kayn,Kayn,5.8,9.0,13.8,Jungle,Renata Glasc,1
160,flyingsquirrel33,Sett,silver 2,11,"556,782",Sett,Sett,7.7,6.5,5.3,Top,Ashe,1
161,GameJunky,Renekton,silver 2,11,"556,716",Malzahar,Akshan,6.2,6.9,6.5,Middle,Pantheon,0
162,hatrea,Cho'Gath,silver 2,11,"556,741",Cho'Gath,Cho'Gath,7.8,7.4,6.9,Top,Cho'Gath,0
163,HonestJo,Lillia,silver 2,11,"556,779",Ekko,Fiora,8.2,5.9,10.2,Top,Kayn,1
164,i am bunss,Senna,silver 2,11,"556,752",Vayne,Vayne,8.7,8.4,11.2,Bottom,Aatrox,0
165,squirrel445,Ekko,gold 1,16,"171,346",Akali,Jhin,9.5,5.2,6.1,Bottom,Jhin,1
166,Sibjani,Xayah,gold 1,16,"171,374",Nidalee,Nidalee,8.7,6.0,11.2,Jungle,Zeri,0
167,TrueBrave,Aatrox,gold 1,16,"171,306",Jayce,Gangplank,4.8,5.4,8.0,Top,Renekton,1
168,Fidddlesticks,Fiddlesticks,gold 1,16,"171,371",Fiddlesticks,Fiddlesticks,6.5,6.7,9.8,Jungle,Xin Zhao,1
169,pddliumou,Xayah,gold 1,16,"171,337",Lux,Renata Glasc,5.8,6.8,14.7,Support,Jinx,0
170,bbpolo,Nami,gold 1,16,"171,308",Lulu,Nami,2.3,6.1,19.3,Support,Soraka,1
171,Fexphoria,Zed,gold 1,16,"171,367",Sylas,Sylas,8.7,6.9,9.1,Middle,Lux,0
172,Weepincheese2,Twitch,gold 1,16,"171,356",Lucian,Twitch,8.5,6.6,7.7,Bottom,Miss Fortune,0
173,ShankingTurtle,Rammus,silver 2,11,"518,976",Darius,Teemo,7.2,6.0,10.2,Top,Teemo,1
174,Zizin,Nunu & Willump,silver 2,11,"519,001",Aatrox,Kai'Sa,7.6,13.2,9.2,Top,Fiora,1
175,Purg4toryKnight,Katarina,silver 2,11,"518,930",Yasuo,Katarina,9.1,6.1,10.9,Middle,Katarina,0
176,kumıho,Sejuani,silver 2,11,"518,955",Senna,Morgana,6.8,9.3,11.6,Support,Sejuani,1
177,SimpforJFK,Ryze,silver 2,11,"518,973",Viktor,Ryze,10.3,6.2,11.5,Middle,Kayn,1
178,Crixus7824,Braum,silver 2,11,"518,926",Brand,Braum,2.6,7.0,11.6,Support,Braum,1
179,DidIW1n,Vi,silver 2,11,"518,970",Nocturne,Vi,7.0,5.9,8.6,Jungle,Vi,0
180,Johnfong,Lucian,silver 2,11,"518,947",Lucian,Lucian,14.0,6.4,4.8,Bottom,Kai'Sa,1
181,Illini150,Sejuani,silver 2,11,"518,968",Zac,Zac,7.4,5.2,11.5,Jungle,Veigar,1
182,BoostedPotato69,Swain,bronze 3,6,"1,089,124",Brand,Brand,3.6,6.0,8.0,Bottom,Lucian,-1
183,Worst AD NA,Heimerdinger,bronze 3,6,"1,089,194",Caitlyn,Tristana,8.5,9.6,15.6,Bottom,Brand,1
184,Rochey255,Vi,bronze 3,6,"1,089,109",Vi,Warwick,5.4,8.3,12.5,Top,Darius,0
185,LXXV,Ahri,platinum 4,17,"123,033",Orianna,Renata Glasc,11.1,5.6,10.3,Middle,Gnar,1
186,ChinaDing09,Shaco,platinum 4,17,"123,016",Darius,Shaco,6.6,5.7,7.5,Jungle,Hecarim,0
187,50 Shark Thái,Yasuo,platinum 4,17,"123,003",Lucian,Malphite,6.0,8.4,11.9,Top,Nautilus,0
188,Diet Colaa,Gangplank,platinum 4,17,"123,042",Graves,Kindred,7.6,6.1,5.6,Jungle,Kindred,0
189,Snowflex,Shyvana,platinum 4,17,"123,036",Warwick,Nautilus,5.6,7.4,11.5,Support,Twitch,0
190,Dersa,Tristana,platinum 4,17,"123,062",Thresh,Tristana,2.7,6.7,10.3,Support,Blitzcrank,0
191,Bronze V Bonobo,Alistar,platinum 4,17,"123,098",Poppy,Blitzcrank,5.5,6.1,10.5,Support,Annie,1
192,BLACKSHEEEP,Anivia,iron 3,2,"1,289,811",Diana,Diana,7.1,7.3,7.7,Middle,Diana,1
193,Sil0ow,Sion,iron 3,2,"1,289,834",Sion,Yone,2.1,4.8,4.4,Top,Trundle,0
194,klover221,Miss Fortune,iron 3,2,"1,289,877",Olaf,Jinx,4.4,7.5,6.6,Bottom,Jinx,0
195,Drevill,Jayce,iron 3,2,"1,289,849",Viktor,Kled,5.0,6.0,3.9,Top,Cassiopeia,0
196,Shichiimiya,Lux,iron 3,2,"1,289,897",Sona,Lux,3.6,6.9,10.0,Support,Zilean,0
197,pipelayer7474,Karthus,iron 3,2,"1,289,850",Soraka,Soraka,5.7,7.6,8.6,Support,Karthus,1
198,RASTA PIGEON BZE,Lux,bronze 1,8,"959,316",Shaco,Nunu & Willump,6.4,4.9,7.0,Middle,Shaco,0
199,Teerapol Mayta,Master Yi,bronze 1,8,"959,397",Master Yi,Master Yi,11.4,8.0,5.8,Top,Master Yi,1
200,MrRobotto,Tryndamere,bronze 1,8,"959,380",Heimerdinger,Mordekaiser,9.3,5.8,6.6,Top,Mordekaiser,0
201,Stonewedge,Jhin,bronze 1,8,"959,391",Jhin,Xerath,4.8,8.3,13.7,Support,Morgana,0
202,Sivart Enal,Sett,bronze 1,8,"959,372",Lux,Ahri,7.1,8.9,14.8,Middle,Seraphine,0
203,rjbrown,Teemo,bronze 1,8,"959,360",Illaoi,Illaoi,4.4,4.7,4.1,Top,Teemo,1
204, DevilStriker21,Zac,bronze 1,8,"959,341",Zac,Zac,3.8,5.3,7.5,Jungle,Zac,1
205,Bloody VIble,Morgana,bronze 1,8,"959,313",Leona,Nunu & Willump,9.1,7.5,10.7,Jungle,Illaoi,0
206,Slayin Savage,Akali,bronze 1,8,"959,300",Akali,Akali,12.8,5.9,7.8,Middle,Akali,1
207,Bee Le,Garen,gold 4,13,"337,385",Blitzcrank,Garen,6.3,6.3,9.5,Top,Brand,1
208,ImTedddy,Sejuani,gold 4,13,"337,398",Nasus,Nasus,6.5,9.5,7.7,Top,Lux,1
209,KevLeon,Malphite,gold 4,13,"337,356",Nasus,Zed,12.9,5.3,8.5,Middle,Riven,1
210,Greywìnd,Sivir,gold 4,13,"337,351",Yasuo,Diana,8.2,7.8,8.2,Top,Miss Fortune,1
211,Cypherno,Aphelios,gold 4,13,"337,384",Aphelios,Zeri,5.8,5.4,5.7,Bottom,Zeri,0
212,BeyondBeastin,Lillia,gold 4,13,"337,383",Zeri,Diana,9.8,7.6,11.2,Middle,Lillia,0
213,Fatal KO,Ezreal,gold 4,13,"337,336",Nocturne,Ezreal,7.6,6.9,10.9,Bottom,Ezreal,0
214,Xaudio,Draven,gold 4,13,"337,397",Vayne,Rengar,9.6,5.0,7.2,Bottom,Ashe,1
215,franciscoxiao123,Ezreal,silver 3,10,"677,533",Renekton,Renekton,3.8,8.0,8.9,Support,Jax,0
216,n9co,Sion,silver 3,10,"677,583",Sion,Sion,7.1,6.5,6.7,Bottom,Pyke,1
217,Boppt,Tahm Kench,silver 3,10,"677,506",Trundle,Renekton,7.1,4.1,5.7,Middle,Jax,1
218,ultimatemcc,Trundle,silver 3,10,"677,591",Ryze,Ryze,5.7,4.1,7.5,Middle,Ryze,0
219,Apotemnophilia,Sion,silver 3,10,"677,523",Twitch,Sion,6.6,9.0,5.5,Top,Sion,1
220,taczubl,Blitzcrank,silver 3,10,"677,519",Blitzcrank,Poppy,3.0,6.2,9.7,Support,Sylas,1
221,NinjaFanxD,Yuumi,silver 3,10,"677,525",Katarina,Nami,6.8,7.6,10.1,Support,Lux,0
222,Crossmink963,Irelia,silver 3,10,"677,558",Katarina,Katarina,10.7,5.1,4.5,Middle,Akali,0
223,ay bruv,Shen,platinum 3,18,"79,429",Samira,Samira,9.3,4.3,5.1,Top,Jax,0
224,Kartipor,Graves,platinum 3,18,"79,459",Mordekaiser,Graves,9.0,7.8,10.0,Top,Volibear,1
225,KATSCAN,Katarina,platinum 3,18,"79,410",Zed,Zed,9.6,5.5,6.7,Middle,Katarina,1
